"age","job","marital","education","default","balance","housing","loan","contact","day","month","campaign","pdays","previous","poutcome","Gender","y"
31,"management","single","tertiary","no",554,"no","no","cellular",11,"feb",1,89,9,"success","Unknown","1"
42,"management","married","tertiary","no",6363,"yes","no","cellular",30,"apr",1,360,2,"failure","0","1"
39,"blue-collar","married","secondary","no",693,"yes","yes","cellular",7,"may",4,173,3,"failure","0","0"
30,"admin.","single","secondary","no",601,"yes","no","cellular",17,"apr",2,299,1,"failure","Unknown","0"
36,"technician","divorced","secondary","no",152,"yes","no","unknown",26,"may",1,-1,0,"unknown","Unknown","0"
44,"management","divorced","tertiary","no",36,"no","no","cellular",26,"oct",2,150,3,"failure","Unknown","0"
29,"admin.","single","secondary","no",1102,"yes","no","unknown",19,"may",1,368,1,"other","Unknown","1"
46,"management","divorced","tertiary","no",2231,"yes","no","cellular",23,"jul",1,-1,0,"unknown","Unknown","1"
30,"management","married","tertiary","no",864,"no","no","cellular",18,"nov",1,129,2,"failure","Unknown","0"
36,"blue-collar","married","primary","no",214,"yes","no","unknown",14,"jul",3,-1,0,"unknown","0","0"
33,"management","single","tertiary","no",8599,"no","no","cellular",16,"oct",1,58,1,"failure","Unknown","0"
35,"admin.","divorced","secondary","no",1118,"no","no","cellular",5,"jun",1,85,7,"success","Unknown","1"
53,"technician","divorced","secondary","no",289,"yes","no","cellular",17,"apr",2,350,9,"other","Unknown","0"
34,"blue-collar","married","primary","no",339,"yes","no","cellular",17,"apr",1,340,1,"failure","Unknown","1"
40,"blue-collar","married","primary","no",-710,"yes","no","unknown",20,"may",3,-1,0,"unknown","Unknown","0"
43,"blue-collar","single","secondary","no",710,"yes","no","unknown",20,"jun",2,-1,0,"unknown","Unknown","1"
38,"admin.","married","primary","no",0,"yes","yes","telephone",25,"jul",5,-1,0,"unknown","Unknown","0"
52,"management","married","tertiary","no",7278,"no","no","cellular",19,"aug",3,-1,0,"unknown","Unknown","1"
51,"blue-collar","married","primary","no",1160,"yes","no","cellular",17,"apr",3,-1,0,"unknown","Unknown","0"
46,"admin.","divorced","tertiary","no",3786,"yes","no","unknown",13,"may",19,-1,0,"unknown","Unknown","0"
42,"technician","married","tertiary","no",3626,"yes","no","cellular",4,"feb",4,-1,0,"unknown","Unknown","0"
21,"blue-collar","married","primary","no",-181,"yes","yes","cellular",15,"may",1,375,3,"failure","Unknown","1"
37,"management","married","tertiary","no",4007,"yes","no","cellular",2,"feb",2,172,4,"other","Unknown","1"
51,"management","married","tertiary","no",2767,"no","no","cellular",21,"may",3,71,5,"failure","Unknown","1"
27,"management","single","tertiary","no",1103,"no","yes","cellular",30,"jan",3,208,2,"other","Unknown","0"
30,"management","single","tertiary","no",557,"no","no","cellular",14,"jan",2,94,2,"success","Unknown","1"
35,"admin.","single","secondary","no",324,"no","no","cellular",21,"jul",1,396,3,"other","Unknown","1"
35,"blue-collar","married","primary","no",0,"no","no","cellular",21,"jul",3,-1,0,"unknown","Unknown","0"
51,"technician","divorced","unknown","no",1275,"yes","no","cellular",4,"feb",1,261,1,"failure","Unknown","0"
42,"blue-collar","married","primary","no",549,"yes","yes","cellular",16,"apr",4,150,2,"failure","Unknown","0"
58,"admin.","divorced","secondary","no",3058,"yes","no","telephone",11,"may",1,372,1,"failure","Unknown","0"
60,"management","married","primary","no",8417,"no","no","cellular",18,"jun",1,47,7,"other","Unknown","0"
32,"technician","single","tertiary","no",1527,"yes","no","cellular",9,"feb",1,88,3,"failure","Unknown","0"
35,"blue-collar","married","secondary","no",2617,"yes","no","cellular",2,"apr",3,337,1,"other","Unknown","0"
30,"technician","single","secondary","no",947,"no","no","cellular",25,"jun",1,137,3,"other","Unknown","0"
55,"management","single","tertiary","no",0,"no","no","cellular",3,"nov",3,178,3,"failure","0","0"
30,"technician","divorced","secondary","no",2967,"yes","no","cellular",28,"aug",5,-1,0,"unknown","Unknown","0"
39,"management","married","tertiary","no",-975,"yes","no","unknown",26,"may",2,-1,0,"unknown","Unknown","0"
55,"admin.","married","secondary","no",891,"yes","no","cellular",27,"oct",1,115,3,"failure","0","0"
27,"technician","single","secondary","no",643,"no","no","telephone",14,"oct",1,91,1,"success","Unknown","1"
37,"management","married","tertiary","no",2205,"no","no","unknown",21,"may",4,-1,0,"unknown","Unknown","0"
42,"technician","single","secondary","no",58,"yes","yes","cellular",30,"jan",2,239,1,"other","1","0"
38,"admin.","single","secondary","no",259,"no","no","cellular",3,"feb",2,184,6,"failure","Unknown","1"
42,"blue-collar","married","primary","no",-548,"yes","yes","telephone",21,"nov",2,179,4,"failure","Unknown","0"
51,"admin.","married","secondary","no",0,"no","no","cellular",21,"jul",1,-1,0,"unknown","Unknown","0"
43,"blue-collar","married","primary","no",238,"yes","no","cellular",12,"may",5,352,16,"failure","Unknown","0"
35,"management","married","tertiary","no",0,"yes","no","cellular",11,"feb",2,89,5,"success","Unknown","1"
36,"management","single","tertiary","no",946,"yes","no","cellular",16,"apr",1,-1,0,"unknown","1","0"
37,"technician","married","tertiary","no",453,"yes","no","unknown",29,"may",3,-1,0,"unknown","Unknown","0"
41,"admin.","married","secondary","no",70,"no","no","cellular",20,"apr",2,158,2,"failure","1","0"
44,"admin.","married","secondary","no",0,"yes","no","cellular",6,"aug",1,247,1,"other","1","0"
25,"technician","single","secondary","no",0,"yes","no","cellular",23,"jul",5,-1,0,"unknown","Unknown","0"
33,"technician","single","secondary","no",921,"yes","no","cellular",15,"may",5,341,1,"failure","Unknown","0"
37,"technician","married","secondary","no",6256,"yes","yes","cellular",3,"jun",1,94,2,"failure","Unknown","0"
35,"management","single","tertiary","no",80,"no","no","cellular",4,"sep",2,98,1,"other","Unknown","1"
53,"management","married","secondary","no",-136,"yes","no","unknown",9,"may",2,-1,0,"unknown","Unknown","0"
34,"technician","married","secondary","no",0,"yes","no","cellular",5,"aug",2,2,3,"success","Unknown","1"
49,"blue-collar","single","primary","no",2253,"yes","no","cellular",7,"may",2,364,2,"other","Unknown","1"
32,"technician","single","tertiary","no",5404,"no","no","cellular",22,"apr",1,177,1,"success","Unknown","1"
53,"technician","married","secondary","no",1903,"yes","yes","cellular",27,"nov",1,-1,0,"unknown","Unknown","1"
38,"admin.","divorced","secondary","no",407,"yes","yes","cellular",18,"feb",1,190,1,"failure","Unknown","0"
57,"blue-collar","married","secondary","no",1770,"no","no","telephone",22,"feb",4,314,2,"failure","Unknown","0"
41,"management","married","tertiary","no",2181,"no","no","cellular",7,"aug",2,101,1,"failure","Unknown","1"
37,"admin.","divorced","secondary","no",828,"no","no","unknown",19,"jun",1,-1,0,"unknown","Unknown","0"
41,"management","married","tertiary","no",183,"no","no","cellular",21,"aug",12,-1,0,"unknown","Unknown","0"
29,"blue-collar","single","tertiary","no",446,"no","no","cellular",22,"oct",4,148,3,"success","0","1"
47,"management","married","primary","no",810,"no","no","unknown",9,"jun",2,-1,0,"unknown","0","0"
34,"blue-collar","divorced","primary","no",386,"yes","no","cellular",15,"may",2,378,2,"success","Unknown","0"
57,"technician","divorced","secondary","no",2846,"yes","yes","unknown",7,"may",1,-1,0,"unknown","Unknown","0"
59,"management","married","tertiary","no",5451,"no","no","cellular",23,"jun",3,-1,0,"unknown","Unknown","1"
47,"admin.","single","secondary","no",3770,"no","no","cellular",12,"jul",2,188,4,"success","Unknown","1"
29,"technician","single","secondary","no",482,"yes","no","cellular",18,"may",1,385,3,"failure","Unknown","0"
27,"technician","single","secondary","no",44,"no","no","cellular",28,"jan",1,-1,0,"unknown","Unknown","0"
46,"blue-collar","married","unknown","no",346,"yes","no","cellular",14,"aug",3,462,1,"other","Unknown","1"
33,"admin.","married","secondary","no",16,"yes","no","cellular",13,"may",1,351,1,"failure","Unknown","0"
48,"management","married","unknown","no",0,"yes","no","cellular",8,"may",1,347,1,"other","Unknown","0"
39,"management","single","tertiary","no",0,"yes","no","cellular",22,"may",1,96,3,"success","Unknown","1"
39,"blue-collar","single","secondary","no",339,"no","yes","cellular",5,"feb",3,-1,0,"unknown","Unknown","0"
46,"admin.","divorced","secondary","no",686,"yes","no","cellular",29,"jan",1,272,2,"failure","Unknown","0"
34,"blue-collar","single","secondary","no",19436,"yes","no","cellular",30,"jan",4,257,1,"other","Unknown","0"
38,"technician","single","secondary","no",625,"yes","yes","cellular",6,"may",2,257,14,"other","Unknown","0"
53,"management","married","tertiary","yes",-262,"no","yes","cellular",24,"jul",2,-1,0,"unknown","Unknown","0"
50,"technician","divorced","secondary","no",0,"yes","no","cellular",14,"may",3,87,3,"failure","Unknown","0"
50,"blue-collar","married","secondary","no",1588,"yes","no","unknown",15,"may",5,-1,0,"unknown","Unknown","0"
46,"blue-collar","married","secondary","no",1719,"yes","no","cellular",29,"aug",2,-1,0,"unknown","Unknown","0"
53,"blue-collar","married","primary","no",440,"yes","no","unknown",29,"may",1,-1,0,"unknown","1","0"
33,"blue-collar","married","secondary","no",1360,"no","no","cellular",20,"nov",5,-1,0,"unknown","Unknown","0"
47,"management","single","tertiary","no",89,"no","no","cellular",2,"feb",1,-1,0,"unknown","Unknown","1"
39,"blue-collar","single","secondary","no",0,"yes","no","cellular",14,"may",10,340,10,"other","Unknown","0"
46,"blue-collar","married","secondary","no",566,"yes","no","unknown",3,"jun",2,-1,0,"unknown","Unknown","0"
37,"management","divorced","tertiary","no",468,"yes","no","cellular",17,"sep",1,854,2,"failure","1","1"
35,"admin.","single","secondary","no",-33,"no","yes","cellular",9,"feb",4,182,5,"failure","Unknown","1"
47,"admin.","single","secondary","no",-918,"yes","no","cellular",30,"jul",2,-1,0,"unknown","0","0"
37,"admin.","married","secondary","no",1380,"yes","no","cellular",12,"feb",4,212,3,"failure","Unknown","1"
57,"management","married","tertiary","no",-897,"no","no","unknown",20,"may",10,-1,0,"unknown","Unknown","0"
45,"admin.","married","secondary","no",14,"no","yes","cellular",18,"may",9,349,5,"failure","Unknown","0"
35,"blue-collar","divorced","secondary","no",161,"yes","no","cellular",18,"may",5,349,13,"failure","Unknown","0"
46,"technician","married","tertiary","no",154,"no","no","cellular",5,"feb",2,220,1,"failure","Unknown","0"
32,"management","divorced","tertiary","no",288,"yes","no","cellular",17,"apr",1,260,5,"success","Unknown","1"
43,"blue-collar","married","primary","no",372,"yes","no","cellular",8,"may",2,-1,0,"unknown","Unknown","0"
37,"blue-collar","married","primary","no",225,"yes","no","cellular",7,"may",1,285,3,"failure","Unknown","0"
32,"technician","single","tertiary","no",1762,"no","no","cellular",15,"sep",2,130,1,"other","Unknown","1"
40,"management","married","tertiary","no",271,"yes","no","cellular",6,"apr",1,278,3,"success","Unknown","0"
43,"blue-collar","married","secondary","no",413,"yes","no","cellular",12,"aug",2,187,4,"success","1","1"
27,"blue-collar","single","secondary","no",3830,"no","no","cellular",22,"oct",1,176,2,"success","Unknown","1"
45,"blue-collar","married","primary","no",433,"yes","no","cellular",11,"may",1,-1,0,"unknown","Unknown","0"
26,"blue-collar","married","secondary","no",676,"yes","no","cellular",18,"may",2,-1,0,"unknown","0","0"
33,"management","married","tertiary","no",0,"yes","no","cellular",14,"apr",3,328,1,"failure","Unknown","1"
29,"management","single","tertiary","no",1898,"no","no","cellular",7,"jul",2,411,1,"success","1","1"
32,"blue-collar","divorced","secondary","no",86,"yes","no","cellular",15,"may",2,355,12,"other","Unknown","0"
44,"blue-collar","married","primary","no",0,"yes","no","telephone",5,"may",2,340,1,"failure","Unknown","0"
51,"management","married","tertiary","no",450,"no","no","cellular",15,"apr",1,174,2,"success","Unknown","1"
34,"technician","married","secondary","no",976,"yes","no","cellular",18,"may",4,259,7,"other","Unknown","0"
29,"management","single","tertiary","no",3884,"no","no","cellular",3,"jun",2,-1,0,"unknown","Unknown","1"
24,"admin.","single","secondary","no",1282,"no","no","cellular",22,"jul",2,94,1,"success","Unknown","1"
39,"admin.","divorced","secondary","no",-577,"yes","no","unknown",20,"may",2,-1,0,"unknown","Unknown","0"
31,"admin.","single","secondary","no",0,"yes","no","cellular",7,"may",2,283,2,"failure","Unknown","1"
46,"blue-collar","married","secondary","no",260,"yes","no","unknown",5,"may",1,-1,0,"unknown","Unknown","0"
37,"blue-collar","married","primary","no",8054,"yes","no","cellular",20,"nov",1,186,1,"failure","Unknown","0"
37,"blue-collar","divorced","primary","no",123,"yes","no","cellular",18,"may",3,350,4,"failure","Unknown","0"
27,"technician","single","secondary","no",2,"yes","yes","cellular",6,"may",2,367,1,"failure","Unknown","1"
59,"management","married","primary","no",1727,"no","no","telephone",25,"may",4,344,2,"failure","Unknown","1"
53,"management","married","tertiary","no",3525,"no","no","cellular",7,"may",4,84,8,"success","Unknown","1"
55,"management","single","tertiary","no",4653,"yes","no","cellular",21,"nov",4,108,2,"other","Unknown","0"
34,"admin.","married","secondary","no",1448,"yes","no","cellular",27,"may",1,-1,0,"unknown","Unknown","1"
45,"technician","married","secondary","no",0,"yes","yes","unknown",20,"jun",5,-1,0,"unknown","Unknown","0"
39,"blue-collar","married","unknown","no",652,"yes","no","cellular",20,"apr",5,-1,0,"unknown","Unknown","1"
34,"blue-collar","married","primary","no",1524,"yes","no","cellular",20,"nov",3,-1,0,"unknown","Unknown","0"
33,"management","divorced","tertiary","no",2240,"no","no","cellular",8,"mar",2,270,1,"success","Unknown","1"
32,"admin.","married","tertiary","no",233,"yes","no","cellular",2,"apr",2,130,4,"failure","Unknown","0"
27,"management","single","tertiary","no",1806,"no","no","cellular",3,"nov",2,278,1,"failure","Unknown","1"
26,"blue-collar","single","primary","no",3442,"yes","no","unknown",4,"jun",4,-1,0,"unknown","Unknown","0"
48,"technician","single","secondary","no",326,"no","no","cellular",23,"jul",1,-1,0,"unknown","Unknown","0"
29,"management","single","tertiary","no",612,"yes","no","cellular",3,"jun",1,115,1,"failure","Unknown","1"
59,"blue-collar","divorced","primary","no",949,"no","no","cellular",20,"jul",2,-1,0,"unknown","0","1"
48,"blue-collar","married","primary","no",760,"no","yes","cellular",6,"aug",2,-1,0,"unknown","Unknown","0"
28,"technician","single","secondary","no",1593,"no","no","cellular",4,"feb",5,-1,0,"unknown","Unknown","0"
35,"admin.","single","secondary","no",1059,"no","no","cellular",20,"nov",2,-1,0,"unknown","Unknown","0"
43,"blue-collar","married","primary","no",2863,"no","no","cellular",3,"aug",2,90,1,"other","Unknown","1"
47,"management","married","tertiary","no",637,"yes","no","cellular",7,"may",2,377,3,"failure","Unknown","0"
44,"management","single","tertiary","no",1144,"no","no","cellular",19,"jul",4,521,2,"other","Unknown","1"
38,"blue-collar","married","secondary","no",4191,"no","no","cellular",18,"may",1,83,6,"failure","0","0"
32,"blue-collar","married","primary","no",-55,"yes","yes","cellular",17,"apr",2,308,20,"other","1","0"
36,"admin.","single","secondary","no",0,"no","no","cellular",28,"jan",1,-1,0,"unknown","Unknown","0"
47,"blue-collar","married","secondary","no",2944,"no","no","cellular",21,"nov",7,146,5,"failure","Unknown","0"
46,"management","married","tertiary","no",38126,"yes","no","cellular",14,"oct",1,544,1,"failure","1","0"
29,"management","married","tertiary","no",262,"yes","no","cellular",31,"mar",2,270,1,"other","Unknown","0"
24,"admin.","single","secondary","no",1055,"no","no","cellular",21,"jul",1,-1,0,"unknown","Unknown","0"
60,"blue-collar","divorced","secondary","no",1297,"no","no","unknown",7,"may",2,-1,0,"unknown","Unknown","0"
43,"technician","married","tertiary","no",2696,"no","no","cellular",12,"aug",3,99,5,"success","Unknown","1"
38,"technician","married","tertiary","no",0,"no","no","cellular",22,"aug",6,-1,0,"unknown","1","0"
42,"technician","married","secondary","no",1079,"yes","no","telephone",6,"feb",2,-1,0,"unknown","Unknown","0"
36,"management","married","tertiary","no",2139,"no","no","cellular",8,"sep",2,181,5,"success","Unknown","1"
35,"technician","single","secondary","no",1252,"no","no","cellular",18,"mar",4,92,6,"other","Unknown","1"
43,"management","single","secondary","yes",-1106,"yes","yes","cellular",18,"jul",4,-1,0,"unknown","Unknown","0"
29,"management","married","tertiary","no",5698,"no","no","cellular",15,"apr",1,253,1,"failure","Unknown","0"
51,"blue-collar","divorced","secondary","no",102,"no","no","cellular",9,"jul",1,-1,0,"unknown","Unknown","0"
29,"admin.","single","secondary","no",254,"yes","no","cellular",25,"nov",1,191,1,"failure","Unknown","1"
46,"management","married","unknown","no",786,"yes","no","cellular",30,"jan",1,180,1,"failure","1","0"
39,"management","single","tertiary","no",27,"yes","yes","cellular",21,"nov",1,184,4,"failure","Unknown","0"
34,"management","single","tertiary","no",0,"yes","yes","cellular",26,"may",2,98,1,"other","Unknown","0"
25,"technician","single","secondary","no",7316,"yes","no","cellular",28,"may",3,10,1,"failure","Unknown","1"
35,"technician","single","secondary","no",182,"yes","no","cellular",29,"jan",1,246,1,"failure","Unknown","0"
34,"admin.","married","secondary","no",81,"yes","no","cellular",17,"apr",1,319,1,"failure","Unknown","0"
57,"management","married","tertiary","no",771,"yes","no","cellular",7,"may",1,363,1,"failure","Unknown","0"
40,"management","divorced","tertiary","no",824,"no","no","cellular",26,"oct",2,-1,0,"unknown","Unknown","1"
43,"blue-collar","single","primary","no",543,"yes","no","unknown",7,"may",1,-1,0,"unknown","1","0"
54,"management","married","tertiary","no",1523,"no","no","cellular",2,"oct",2,95,1,"success","Unknown","1"
32,"admin.","divorced","secondary","no",-19,"yes","no","unknown",30,"may",2,-1,0,"unknown","Unknown","0"
55,"technician","married","unknown","no",1323,"yes","yes","telephone",21,"nov",5,-1,0,"unknown","Unknown","0"
48,"blue-collar","married","secondary","no",0,"no","no","cellular",6,"aug",5,-1,0,"unknown","Unknown","0"
36,"admin.","single","tertiary","no",641,"no","no","cellular",26,"may",1,104,1,"failure","Unknown","0"
47,"technician","married","unknown","no",174,"yes","no","unknown",6,"may",1,-1,0,"unknown","Unknown","0"
43,"blue-collar","married","secondary","no",603,"yes","no","cellular",2,"feb",1,258,1,"failure","Unknown","0"
37,"technician","married","tertiary","no",133,"yes","no","cellular",25,"aug",1,183,1,"success","Unknown","1"
54,"technician","married","secondary","no",2016,"no","yes","cellular",28,"jul",3,-1,0,"unknown","Unknown","1"
46,"management","divorced","tertiary","no",612,"no","no","cellular",18,"mar",1,273,1,"other","Unknown","1"
27,"technician","single","tertiary","no",11862,"no","no","cellular",25,"nov",2,98,7,"success","Unknown","1"
65,"admin.","married","secondary","no",904,"no","no","cellular",6,"sep",1,94,1,"success","Unknown","1"
28,"management","single","secondary","no",166,"no","no","cellular",5,"jun",1,84,1,"success","Unknown","1"
39,"technician","married","secondary","no",8,"no","yes","cellular",17,"nov",2,94,2,"failure","1","0"
39,"admin.","married","tertiary","no",1388,"yes","no","cellular",24,"sep",3,501,1,"other","Unknown","0"
31,"management","married","secondary","no",0,"no","no","cellular",11,"aug",1,-1,0,"unknown","Unknown","1"
34,"admin.","married","secondary","no",-305,"yes","yes","cellular",20,"apr",3,316,3,"other","0","0"
39,"management","married","secondary","no",725,"no","no","cellular",19,"nov",1,148,2,"other","Unknown","0"
40,"technician","married","tertiary","no",1116,"yes","yes","cellular",19,"aug",2,-1,0,"unknown","Unknown","0"
48,"admin.","divorced","unknown","no",246,"yes","no","unknown",9,"may",1,-1,0,"unknown","Unknown","0"
32,"management","single","tertiary","no",2915,"yes","no","cellular",24,"apr",1,4,1,"failure","Unknown","1"
57,"management","divorced","tertiary","no",3418,"no","no","cellular",22,"jun",1,84,3,"success","Unknown","1"
33,"blue-collar","married","secondary","no",-60,"yes","no","cellular",15,"may",2,343,1,"failure","Unknown","0"
32,"management","married","tertiary","no",311,"yes","yes","unknown",23,"feb",1,365,2,"failure","Unknown","1"
30,"management","married","tertiary","no",90,"yes","yes","cellular",19,"nov",1,99,2,"other","Unknown","0"
37,"technician","single","secondary","no",192,"yes","no","cellular",2,"feb",1,-1,0,"unknown","Unknown","0"
26,"management","divorced","tertiary","no",700,"no","no","telephone",19,"jun",2,-1,0,"unknown","Unknown","0"
35,"blue-collar","married","secondary","no",205,"yes","no","cellular",17,"apr",1,327,3,"failure","Unknown","0"
48,"technician","married","secondary","no",-485,"yes","no","unknown",7,"may",5,-1,0,"unknown","Unknown","0"
57,"management","married","tertiary","no",379,"no","no","cellular",21,"nov",3,-1,0,"unknown","Unknown","1"
33,"technician","married","secondary","no",0,"no","no","cellular",25,"aug",8,-1,0,"unknown","Unknown","0"
43,"technician","married","secondary","no",4846,"yes","no","cellular",3,"sep",3,185,2,"success","Unknown","1"
27,"blue-collar","single","tertiary","no",584,"no","no","cellular",25,"nov",2,178,1,"success","Unknown","1"
28,"technician","single","secondary","no",1501,"no","no","cellular",22,"may",1,112,5,"failure","Unknown","0"
62,"admin.","married","secondary","no",4608,"no","no","cellular",14,"sep",1,195,1,"success","Unknown","0"
30,"technician","single","secondary","no",1406,"yes","no","cellular",13,"may",4,-1,0,"unknown","Unknown","0"
37,"technician","married","secondary","no",-244,"yes","yes","cellular",6,"feb",3,249,2,"failure","Unknown","0"
57,"management","married","tertiary","no",11112,"no","no","cellular",25,"mar",1,182,6,"success","Unknown","1"
47,"technician","married","secondary","no",511,"no","no","cellular",28,"jan",2,186,1,"failure","Unknown","0"
53,"technician","married","secondary","no",616,"no","no","cellular",2,"feb",3,261,2,"failure","Unknown","0"
25,"management","married","unknown","no",457,"no","no","cellular",5,"feb",1,288,1,"success","Unknown","1"
45,"technician","married","secondary","no",2720,"yes","no","cellular",27,"jul",2,188,1,"success","Unknown","1"
33,"blue-collar","married","primary","no",173,"yes","yes","telephone",14,"may",3,378,4,"other","Unknown","0"
49,"blue-collar","divorced","primary","no",24,"yes","no","cellular",11,"may",1,369,1,"success","Unknown","1"
27,"blue-collar","single","secondary","yes",88,"yes","no","unknown",27,"may",1,-1,0,"unknown","Unknown","0"
34,"admin.","married","tertiary","no",10,"no","no","cellular",21,"aug",1,95,1,"failure","Unknown","0"
45,"admin.","divorced","secondary","no",409,"yes","yes","cellular",22,"may",1,90,2,"success","Unknown","1"
45,"blue-collar","married","secondary","no",10560,"no","no","cellular",22,"sep",1,147,2,"success","Unknown","1"
38,"management","single","tertiary","no",441,"yes","no","unknown",5,"may",1,-1,0,"unknown","1","0"
32,"admin.","single","tertiary","no",1662,"yes","no","cellular",19,"nov",1,191,1,"failure","Unknown","0"
38,"technician","divorced","secondary","no",1512,"yes","no","cellular",18,"may",6,186,10,"failure","Unknown","0"
39,"admin.","divorced","secondary","no",460,"yes","no","cellular",2,"feb",2,254,2,"other","Unknown","0"
28,"blue-collar","single","secondary","no",3626,"yes","no","cellular",4,"may",3,-1,0,"unknown","1","0"
33,"technician","single","secondary","no",0,"yes","no","cellular",9,"feb",3,229,4,"other","Unknown","0"
36,"management","single","tertiary","no",570,"yes","yes","unknown",30,"may",3,-1,0,"unknown","Unknown","0"
56,"management","married","tertiary","no",11985,"yes","no","cellular",26,"may",1,523,5,"other","Unknown","1"
30,"blue-collar","single","primary","no",106,"yes","no","cellular",5,"feb",1,276,1,"failure","Unknown","0"
39,"blue-collar","married","primary","no",467,"yes","no","unknown",8,"may",1,-1,0,"unknown","Unknown","0"
54,"unknown","married","secondary","no",2162,"no","no","cellular",13,"may",1,95,4,"success","Unknown","1"
42,"admin.","divorced","secondary","no",2129,"no","no","cellular",13,"aug",1,177,2,"other","Unknown","1"
30,"blue-collar","married","secondary","no",561,"yes","yes","cellular",17,"apr",2,330,1,"failure","Unknown","0"
26,"blue-collar","single","secondary","no",22,"yes","no","cellular",18,"may",6,363,1,"other","1","0"
54,"blue-collar","married","secondary","no",0,"no","no","telephone",16,"apr",1,150,1,"failure","Unknown","0"
33,"management","married","tertiary","no",3770,"no","no","cellular",19,"nov",1,182,3,"failure","Unknown","0"
35,"technician","married","secondary","no",294,"no","no","unknown",23,"may",1,-1,0,"unknown","Unknown","0"
55,"technician","married","secondary","no",259,"yes","yes","cellular",31,"jul",5,-1,0,"unknown","Unknown","1"
36,"admin.","single","tertiary","no",1024,"no","no","cellular",5,"feb",1,181,5,"failure","Unknown","1"
57,"technician","married","primary","no",1327,"yes","no","cellular",30,"jan",1,190,4,"failure","Unknown","0"
33,"management","married","tertiary","no",7922,"yes","no","cellular",5,"may",2,167,5,"other","1","0"
35,"technician","married","secondary","no",-374,"yes","no","cellular",21,"jul",1,-1,0,"unknown","Unknown","0"
29,"management","single","tertiary","no",975,"no","no","cellular",12,"feb",2,91,2,"success","Unknown","1"
